ID,Form,"Country (Form)","Organization (Form)",Participant,Age,Gender,Address,"Well-Functioning Government","Low Levels of Corruption","Equitable Distribution of Resources","Good Relations with Neighbours","Free Flow of Information","High Levels of Human Capital","Sound Business Environment","Acceptance of the Rights of Others","Positive Peace","Negative Peace","Extra Question 1","Extra Question 2","Extra Question 3","Survey Date"
1119,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,1,1,6,1,6,1,6,1,,,,"03 Jun, 2025"
1120,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Female,,3,3,4,3,5,5,6,3,4,4,,,,"03 Jun, 2025"
1121,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,3,4,6,5,3,1,1,1,,,,"03 Jun, 2025"
1122,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,2,5,6,1,3,3,4,5,,,,,"03 Jun, 2025"
1123,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,4,3,4,6,3,4,1,2,2,,,,"03 Jun, 2025"
1124,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,1,1,1,1,1,1,,,,,"03 Jun, 2025"
1125,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,1,6,1,1,6,,,,,,,"03 Jun, 2025"
1126,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,3,3,3,6,2,1,3,4,,,,"03 Jun, 2025"
1127,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,2,3,3,6,5,6,1,4,3,,,,"03 Jun, 2025"
1128,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,6,6,6,3,6,3,5,,,,,"03 Jun, 2025"
1129,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,4,4,3,5,3,5,3,3,2,,,,"03 Jun, 2025"
1130,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,3,5,5,2,5,4,5,5,,,,"03 Jun, 2025"
1131,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,3,4,4,5,5,3,5,3,,,,"03 Jun, 2025"
1132,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,6,4,4,5,4,6,2,5,6,,,,"03 Jun, 2025"
1133,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"Prefer not to say",Female,,6,6,6,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
1134,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,2,5,6,1,4,1,2,1,,,,"03 Jun, 2025"
1135,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,2,6,6,1,6,1,1,6,6,,,,"03 Jun, 2025"
1136,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,1,5,6,6,6,1,4,6,,,,"03 Jun, 2025"
1137,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,5,4,4,5,5,5,4,4,3,,,,"03 Jun, 2025"
1138,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,6,1,6,1,1,6,,,,,,,"03 Jun, 2025"
1139,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,1,1,1,3,3,2,3,1,2,2,,,,"03 Jun, 2025"
1140,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,3,5,5,5,5,4,5,5,,,,,"03 Jun, 2025"
1141,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,6,6,6,1,6,1,6,6,,,,,"03 Jun, 2025"
1142,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,2,1,3,6,6,6,2,2,3,,,,"03 Jun, 2025"
1143,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,2,2,2,4,2,3,4,2,3,,,,"03 Jun, 2025"
1144,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,5,6,6,6,6,6,2,5,,,,,"03 Jun, 2025"
1145,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,2,2,4,4,6,2,2,3,,,,,"03 Jun, 2025"
1146,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,6,6,6,5,6,3,3,1,,,,"03 Jun, 2025"
1147,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,5,5,4,5,2,5,3,4,2,,,,"03 Jun, 2025"
1148,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,5,3,5,5,5,4,6,3,6,6,,,,"03 Jun, 2025"
1149,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,6,6,6,6,6,1,6,6,,,,"03 Jun, 2025"
1150,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,1,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
1151,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,1,3,1,5,5,1,1,1,,,,"03 Jun, 2025"
1152,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,4,1,3,5,6,1,6,6,6,6,,,,"03 Jun, 2025"
1153,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,3,3,3,3,2,5,3,3,,,,"03 Jun, 2025"
1154,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,1,2,6,1,,,,,,,,,,"03 Jun, 2025"
1155,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,5,5,5,3,4,3,5,5,,,,,"03 Jun, 2025"
1156,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,3,1,1,1,6,1,1,,,,,,"03 Jun, 2025"
1157,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,4,2,4,6,3,6,3,4,2,,,,"03 Jun, 2025"
1158,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,1,2,3,6,6,6,1,5,6,,,,"03 Jun, 2025"
1159,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,4,4,4,6,4,5,3,3,5,,,,"03 Jun, 2025"
1160,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,6,6,6,6,3,6,3,6,5,,,,"03 Jun, 2025"
1161,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,6,1,6,1,6,3,6,6,,,,"03 Jun, 2025"
1162,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,4,6,6,6,1,6,1,4,3,,,,"03 Jun, 2025"
1163,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,1,5,6,5,6,6,1,6,,,,,"03 Jun, 2025"
1164,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,4,5,6,3,6,3,5,6,,,,"03 Jun, 2025"
1165,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,4,2,1,4,6,5,5,6,,,,"03 Jun, 2025"
1166,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,2,3,4,6,5,5,1,3,4,,,,"03 Jun, 2025"
1167,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,1,6,6,6,2,6,1,6,6,,,,"03 Jun, 2025"
1168,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,6,6,6,5,6,,,,,,,"03 Jun, 2025"
1169,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,4,3,3,4,6,6,6,1,2,3,,,,"03 Jun, 2025"
1170,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,5,5,6,2,6,5,5,3,,,,"03 Jun, 2025"
1171,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,3,5,6,4,5,6,6,,,,"03 Jun, 2025"
1172,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,6,6,1,1,5,,,,,,,"03 Jun, 2025"
1173,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,1,1,1,6,1,3,1,2,1,,,,"03 Jun, 2025"
1174,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,1,3,4,6,6,6,1,4,1,,,,"03 Jun, 2025"
1175,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,4,5,6,6,1,6,4,6,6,,,,"03 Jun, 2025"
1176,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,1,2,6,1,4,1,3,1,,,,"03 Jun, 2025"
1177,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,2,3,2,5,6,6,1,1,3,,,,"03 Jun, 2025"
1178,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,4,4,4,6,6,6,1,1,2,,,,"03 Jun, 2025"
1179,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,1,1,1,1,6,6,6,1,1,6,,,,"03 Jun, 2025"
1180,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,3,6,5,6,4,1,5,5,,,,"03 Jun, 2025"
1181,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,4,5,4,4,5,4,4,3,,,,,"03 Jun, 2025"
1182,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,1,4,5,4,5,2,5,6,,,,,"03 Jun, 2025"
1183,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,4,3,4,5,6,6,2,4,2,,,,"03 Jun, 2025"
1184,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,1,2,4,3,4,4,2,4,4,,,,"03 Jun, 2025"
1185,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,6,,,,"03 Jun, 2025"
1186,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,3,1,6,3,6,3,6,1,4,6,,,,"03 Jun, 2025"
1187,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,,,,,"03 Jun, 2025"
1188,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,1,1,1,6,1,1,1,1,1,,,,"03 Jun, 2025"
1189,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,1,6,1,6,6,1,1,,,,,,"03 Jun, 2025"
1190,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,6,6,1,6,6,1,,,,,"03 Jun, 2025"
1191,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,1,6,6,6,6,1,6,6,,,,"03 Jun, 2025"
1192,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,4,6,6,2,6,3,6,5,,,,"03 Jun, 2025"
1193,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,3,2,5,2,2,3,1,2,,,,,"03 Jun, 2025"
1194,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,1,6,1,1,1,6,6,6,,,,"03 Jun, 2025"
1195,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,3,3,5,3,1,1,5,,,,,,"03 Jun, 2025"
1196,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,3,5,6,3,6,3,5,5,,,,"03 Jun, 2025"
1197,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,5,5,4,3,6,6,6,1,6,6,,,,"03 Jun, 2025"
1198,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,2,2,3,6,1,6,1,6,6,,,,"03 Jun, 2025"
1199,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,4,4,4,5,4,5,3,5,4,,,,"03 Jun, 2025"
1200,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,2,2,3,4,5,1,6,1,1,1,,,,"03 Jun, 2025"
1201,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,6,5,6,1,6,6,6,6,,,,"03 Jun, 2025"
1202,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,5,5,6,3,6,4,6,4,,,,"03 Jun, 2025"
1203,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,1,1,1,1,6,6,6,1,1,6,,,,"03 Jun, 2025"
1204,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,6,6,6,6,6,1,6,1,6,6,,,,"03 Jun, 2025"
1205,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,1,6,6,1,6,1,6,1,,,,,"03 Jun, 2025"
1206,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,3,4,4,6,4,6,3,4,6,,,,"03 Jun, 2025"
1207,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,6,5,6,6,1,6,6,6,5,,,,"03 Jun, 2025"
1208,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,3,3,6,2,6,1,6,,,,,,"03 Jun, 2025"
1209,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,6,6,6,6,,,,,"03 Jun, 2025"
1210,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,6,,,,,,,,,"03 Jun, 2025"
1211,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,6,1,6,6,6,,,,,,,,,"03 Jun, 2025"
1212,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,1,2,5,1,1,4,1,3,,,,,,"03 Jun, 2025"
1213,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,3,3,6,6,2,1,6,6,,,,"03 Jun, 2025"
1214,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,3,4,1,1,2,5,3,,,,,"03 Jun, 2025"
1215,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,,,,,,,,,,,,,,"03 Jun, 2025"
1216,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,4,4,5,3,6,3,4,6,,,,"03 Jun, 2025"
1217,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,6,6,6,6,6,6,3,6,6,,,,"03 Jun, 2025"
1218,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,3,2,3,4,3,4,4,5,4,,,,"03 Jun, 2025"
1219,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,4,4,5,6,6,1,6,3,5,6,,,,"03 Jun, 2025"
1220,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,6,6,6,6,5,2,5,4,6,6,,,,"03 Jun, 2025"
1221,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,6,6,5,6,1,6,6,6,3,,,,"03 Jun, 2025"
1222,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,1,1,2,2,1,1,1,2,1,,,,"03 Jun, 2025"
1223,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,6,4,4,6,2,5,3,5,6,,,,"03 Jun, 2025"
1224,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,5,4,4,5,6,6,1,3,3,,,,,"03 Jun, 2025"
1225,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,4,3,3,5,5,2,5,3,4,4,,,,"03 Jun, 2025"
1226,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,3,3,5,5,6,1,6,1,3,5,,,,"03 Jun, 2025"
1227,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,3,3,3,4,6,2,6,4,6,4,,,,"03 Jun, 2025"
1228,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Female,,2,2,3,2,4,4,2,2,2,,,,,"03 Jun, 2025"
1229,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,2,3,3,3,6,3,6,1,1,2,,,,"03 Jun, 2025"
1230,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,4,5,6,1,4,4,5,,,,,"03 Jun, 2025"
1231,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,4,4,4,6,3,6,4,5,4,,,,"03 Jun, 2025"
1232,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,4,5,5,6,1,6,4,4,4,,,,"03 Jun, 2025"
1233,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"65 and over",Female,,4,3,5,2,2,6,6,1,4,1,,,,"03 Jun, 2025"
1234,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,2,2,1,4,4,3,6,1,2,6,,,,"03 Jun, 2025"
1235,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,6,5,3,6,6,6,3,6,6,,,,,"03 Jun, 2025"
1236,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,2,3,5,6,6,6,1,6,6,,,,"03 Jun, 2025"
1237,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,1,2,1,6,5,1,1,,,,,,,"03 Jun, 2025"
1238,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Female,,5,6,4,4,6,4,6,6,6,5,,,,"03 Jun, 2025"
1239,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,6,3,4,3,3,6,6,1,3,3,,,,"03 Jun, 2025"
1240,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Male,,2,4,4,3,5,5,5,2,5,4,,,,"03 Jun, 2025"
1241,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"18 to 24",Male,,6,6,6,6,6,6,6,6,,,,,,"03 Jun, 2025"
1242,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"45 to 64",Male,,3,1,3,3,1,2,4,2,2,,,,,"03 Jun, 2025"
1243,"Community Peace Perceptions Survey - IEP",,"Institute for Economics & Peace",,"25 to 44",Female,,4,3,2,3,5,3,5,4,,,,,,"03 Jun, 2025"
